Date,Home_Team,Away_Team,Home_Odds,Draw_Odds,Away_Odds,Competition,Source
2016-04-22,Rebels,Cheetahs,1.5,22.9,2.67,Data,aussportsbetting.com
2016-04-23,Kings,Lions,11.24,48.46,1.03,Data,aussportsbetting.com
2016-04-23,Stormers,Reds,1.16,30.38,5.22,Data,aussportsbetting.com
2016-04-23,Hurricanes,Chiefs,1.65,20.68,2.3,Data,aussportsbetting.com
2016-04-23,Force,Waratahs,2.61,21.55,1.52,Data,aussportsbetting.com
2016-04-23,Sunwolves,Jaguares,6.37,35.46,1.11,Data,aussportsbetting.com
2016-04-24,Brumbies,Crusaders,1.72,20.68,2.18,Data,aussportsbetting.com
2016-04-29,Chiefs,Sharks,1.15,31.01,5.47,Data,aussportsbetting.com
2016-04-29,Force,Bulls,2.97,23.53,1.41,Data,aussportsbetting.com
2016-04-30,Jaguares,Kings,1.04,48.97,9.99,Data,aussportsbetting.com
2016-04-30,Blues,Rebels,1.34,24.31,3.3,Data,aussportsbetting.com
2016-04-30,Highlanders,Brumbies,1.34,23.34,3.38,Data,aussportsbetting.com
2016-04-30,Reds,Cheetahs,1.44,23.4,2.84,Data,aussportsbetting.com
2016-04-30,Lions,Hurricanes,1.97,21.94,1.88,Data,aussportsbetting.com
2016-04-30,Stormers,Waratahs,1.43,22.56,2.91,Data,aussportsbetting.com
2016-05-06,Brumbies,Bulls,1.38,24.65,3.11,Data,aussportsbetting.com
2016-05-06,Crusaders,Reds,1.07,41.25,7.91,Data,aussportsbetting.com
2016-05-07,Kings,Blues,9.8,47.56,1.05,Data,aussportsbetting.com
2016-05-07,Sharks,Hurricanes,2.54,21.27,1.55,Data,aussportsbetting.com
2016-05-07,Sunwolves,Force,2.59,22.15,1.52,Data,aussportsbetting.com
2016-05-07,Chiefs,Highlanders,1.47,22.38,2.75,Data,aussportsbetting.com
2016-05-07,Waratahs,Cheetahs,1.14,30.32,5.64,Data,aussportsbetting.com
2016-05-13,Highlanders,Crusaders,1.91,20.33,1.94,Data,aussportsbetting.com
2016-05-13,Rebels,Brumbies,2.62,21.41,1.52,Data,aussportsbetting.com
2016-05-14,Hurricanes,Reds,1.14,29.4,5.99,Data,aussportsbetting.com
2016-05-14,Waratahs,Bulls,1.34,21.78,3.39,Data,aussportsbetting.com
2016-05-14,Sunwolves,Stormers,10.45,46.57,1.04,Data,aussportsbetting.com
2016-05-14,Cheetahs,Kings,1.04,50.65,10.69,Data,aussportsbetting.com
2016-05-14,Lions,Blues,1.42,21.66,2.97,Data,aussportsbetting.com
2016-05-14,Jaguares,Sharks,1.96,20.69,1.89,Data,aussportsbetting.com
2016-05-20,Crusaders,Waratahs,1.18,26.81,5.07,Data,aussportsbetting.com
2016-05-21,Bulls,Stormers,2.34,20.45,1.63,Data,aussportsbetting.com
2016-05-21,Sharks,Kings,1.01,46.11,14.92,Data,aussportsbetting.com
2016-05-21,Force,Blues,2.42,21.74,1.59,Data,aussportsbetting.com
2016-05-21,Chiefs,Rebels,1.12,31.46,6.2,Data,aussportsbetting.com
2016-05-21,Lions,Jaguares,1.18,28.63,4.9,Data,aussportsbetting.com
2016-05-21,Reds,Sunwolves,1.12,33.58,6.24,Data,aussportsbetting.com
2016-05-27,Hurricanes,Highlanders,2.0,20.38,1.87,Data,aussportsbetting.com
2016-05-27,Waratahs,Chiefs,2.39,20.87,1.61,Data,aussportsbetting.com
2016-05-27,Kings,Jaguares,8.17,37.89,1.07,Data,aussportsbetting.com
2016-05-28,Blues,Crusaders,4.35,24.13,1.23,Data,aussportsbetting.com
2016-05-28,Brumbies,Sunwolves,1.01,54.97,14.15,Data,aussportsbetting.com
2016-05-28,Stormers,Cheetahs,1.17,27.45,5.24,Data,aussportsbetting.com
2016-05-28,Bulls,Lions,1.76,20.72,2.11,Data,aussportsbetting.com
2016-05-29,Rebels,Force,1.21,25.7,4.56,Data,aussportsbetting.com
2016-07-01,Brumbies,Reds,1.14,29.88,5.68,Data,aussportsbetting.com
2016-07-01,Chiefs,Crusaders,2.45,20.44,1.58,Data,aussportsbetting.com
2016-07-02,Sunwolves,Waratahs,10.52,46.3,1.04,Data,aussportsbetting.com
2016-07-02,Hurricanes,Blues,1.17,26.62,5.14,Data,aussportsbetting.com
2016-07-02,Rebels,Stormers,2.13,20.78,1.75,Data,aussportsbetting.com
2016-07-02,Cheetahs,Force,1.36,24.12,3.2,Data,aussportsbetting.com
2016-07-02,Kings,Highlanders,13.08,37.55,1.02,Data,aussportsbetting.com
2016-07-02,Lions,Sharks,1.37,22.27,3.21,Data,aussportsbetting.com
2016-07-02,Jaguares,Bulls,1.59,20.59,2.42,Data,aussportsbetting.com
2016-07-08,Blues,Brumbies,2.34,20.61,1.63,Data,aussportsbetting.com
2016-07-08,Reds,Chiefs,5.52,28.25,1.15,Data,aussportsbetting.com
2016-07-08,Lions,Kings,1.01,47.03,21.29,Data,aussportsbetting.com
2016-07-09,Jaguares,Highlanders,4.41,23.22,1.22,Data,aussportsbetting.com
2016-07-09,Bulls,Sunwolves,1.01,57.45,13.65,Data,aussportsbetting.com
2016-07-09,Sharks,Cheetahs,1.23,24.26,4.38,Data,aussportsbetting.com
