Team,xWins,Wins,Performance
Ireland A,9.745,13.0,3.255000000000001
Mexico,20.914000000000005,24.0,3.085999999999995
Hong Kong China,10.035,13.0,2.965
Wales B,3.588,6.5,2.912
Northampton Saints,30.597,33.5,2.9029999999999987
Philippines,20.108999999999998,23.0,2.891000000000002
Emerging Ireland,6.109999999999999,9.0,2.8900000000000006
England A,11.184,14.0,2.8160000000000007
USA South,10.203999999999999,13.0,2.796000000000001
Australian Barbarians,0.73,3.5,2.77
Natal Sharks,4.756,7.5,2.7439999999999998
Swansea,5.304999999999999,8.0,2.695000000000001
Georgia,176.31400000000002,179.0,2.6859999999999786
Pampas XV,6.316,9.0,2.684
Hanazono Kinetsu Liners,4.349,7.0,2.651
Auckland,11.854000000000001,14.5,2.645999999999999
Midland Counties,2.931,5.5,2.569
Northern Division,1.9860000000000002,4.5,2.514
Coventry,12.559,15.0,2.4410000000000007
Bedford Blues,12.086999999999998,14.5,2.413000000000002
Cuyo,1.105,3.5,2.395
Canada West,7.614,10.0,2.386
Cote Basque-Landes,1.151,3.5,2.349
Munster,27.203,29.5,2.2970000000000006
Montpellier Herault Rugby Club,28.291000000000004,30.5,2.208999999999996
Waikato,12.817000000000002,15.0,2.182999999999998
Leicester Tigers,32.336000000000006,34.5,2.1639999999999944
Northern Transvaal,6.352,8.5,2.1479999999999997
Algeria,12.863000000000003,15.0,2.136999999999997
Western Province Town & Country,0.866,3.0,2.134
Border,4.893999999999999,7.0,2.1060000000000008
London Counties,2.4650000000000003,4.5,2.0349999999999997
Cardiff,8.534,10.5,1.9659999999999993
Pampas,4.044,6.0,1.9560000000000004
Valence Romans,20.047999999999995,22.0,1.9520000000000053
French Universities,0.097,2.0,1.903
Northern Universities,0.641,2.5,1.859
All Blacks XV,5.153999999999999,7.0,1.846000000000001
Northern Provinces,0.661,2.5,1.839
Argentina A,9.676,11.5,1.8239999999999998
Western Province Town,0.6859999999999999,2.5,1.814
Hurricanes Development XV,5.215999999999999,7.0,1.7840000000000007
New Zealand A,0.275,2.0,1.725
South Africa Invitational XV,1.292,3.0,1.708
Bay of Plenty,10.298,12.0,1.702
Griqualand West,8.336,10.0,1.6639999999999997
USSR,92.84000000000003,94.5,1.6599999999999682
Iran,11.843,13.5,1.657
South Island Divisional XV,0.863,2.5,1.637
Eastern Transvaal,2.8729999999999993,4.5,1.6270000000000007
Niger,13.876000000000001,15.5,1.6239999999999988
Section Paloise,26.443,28.0,1.5569999999999986
London,0.507,2.0,1.4929999999999999
England B,5.582,7.0,1.4180000000000001
Rhodesia,3.5999999999999996,5.0,1.4000000000000004
Czechia,17.615999999999996,19.0,1.384000000000004
French Regional XV,4.6370000000000005,6.0,1.3629999999999995
South West,0.641,2.0,1.359
New Zealand Divisional XV,6.654,8.0,1.346
Cyprus,34.666000000000004,36.0,1.333999999999996
South of Scotland,3.6710000000000003,5.0,1.3289999999999997
North of England,1.742,3.0,1.258
Griquas,4.768,6.0,1.2320000000000002
Anglo-Scots,0.779,2.0,1.221
South Africa Amateurs,2.842,4.0,1.158
Senegal A,1.8529999999999998,3.0,1.1470000000000002
Niue Island,9.854,11.0,1.1460000000000008
Stormers,21.85799999999999,23.0,1.1420000000000101
Queensland,18.862000000000002,20.0,1.1379999999999981
Hurricanes,12.864,14.0,1.1359999999999992
SA President's XV,1.882,3.0,1.118
North East Counties,0.8959999999999999,2.0,1.104
Rosario,1.9089999999999998,3.0,1.0910000000000002
Midland Division,0.911,2.0,1.089
Newport,2.917,4.0,1.0830000000000002
Shimizu Blue Sharks,4.917,6.0,1.0830000000000002
Golden Lions,4.92,6.0,1.08
South & South West Division,0.44799999999999995,1.5,1.052
Japan XV,5.962000000000001,7.0,1.0379999999999994
Impala,1.982,3.0,1.018
Toshiba Brave Lupus,12.982999999999999,14.0,1.0170000000000012
Provence-Cote d'Azur,0.007,1.0,0.993
South Africa Combined Services,0.03,1.0,0.97
Wellington,10.532,11.5,0.968
